Customer_ID,Customer_Name,email,gender,Age,City,State,Address,created_date
CS_11000001,Anay Singhal,Anay_Singhal@gmail.com,Female,62,Hyderabad,Telangana,"20/923
Narayan Chowk, Chittoor 694343",2025-03-03
CS_11000002,Falguni Korpal,Falguni_Korpal@gmail.com,Male,64,Jamshedpur,Jharkhand,"587, Saini Road, Ajmer 319147",2023-05-14
CS_11000003,Sachi Sheth,Sachi_Sheth@gmail.com,Female,57,Varanasi,Uttar Pradesh,"78/281
Mishra Street, Vasai-Virar 996221",2025-01-07
CS_11000004,Chaitaly Raval,Chaitaly_Raval@gmail.com,Male,46,Gaya,Bihar,"48/07
Sodhi Zila
Anand-486766",2024-09-05
CS_11000005,Arjun Varkey,Arjun_Varkey@gmail.com,Female,29,Patna,Bihar,"H.No. 626, Tiwari Chowk
Guntakal-597621",2024-08-27
CS_11000006,Udant Wali,Udant_Wali@gmail.com,Male,27,Patna,Bihar,"H.No. 19, Gara Marg
Kishanganj 748161",2024-06-01
CS_11000007,Qushi Sachar,Qushi_Sachar@gmail.com,Female,51,Howrah,West Bengal,"76/89
Kakar Street, Belgaum 363837",2023-12-19
CS_11000008,Janaki Batra,Janaki_Batra@gmail.com,Female,22,Faridabad,Haryana,"52/07
Lalla Nagar, Raurkela Industrial Township 986255",2024-09-30
CS_11000009,Sara Walia,Sara_Walia@gmail.com,Female,20,Ranchi,Jharkhand,"600, Jayaraman Marg
Jammu 001486",2024-09-23
CS_11000010,Balveer Bobal,Balveer_Bobal@gmail.com,Female,34,Darbhanga,Bihar,"10/68
Sarraf Nagar
Gulbarga 203647",2023-05-16
CS_11000011,Krisha Pall,Krisha_Pall@gmail.com,Female,53,Kollam,Kerala,"147
Brar Street, Bangalore 285041",2023-08-23
CS_11000012,Gaurangi Kota,Gaurangi_Kota@gmail.com,Female,43,Nellore,Andhra Pradesh,"H.No. 36
Dada Marg
Katni 798327",2023-03-20
CS_11000013,Priya Bal,Priya_Bal@gmail.com,Female,24,Balasore,Odisha,"14/399, Sengupta Ganj, Sri Ganganagar 823211",2023-09-29
CS_11000014,Darsh Varghese,Darsh_Varghese@gmail.com,Male,59,Gurgaon,Haryana,"H.No. 60, Narayanan
Vijayawada 876969",2023-11-09
CS_11000015,Siya Kashyap,Siya_Kashyap@gmail.com,Male,61,Vadodara,Gujarat,"989, Ramanathan Road
Begusarai 442020",2023-09-08
CS_11000016,Ikshita Karnik,Ikshita_Karnik@gmail.com,Male,65,Hazaribagh,Jharkhand,"84/96, Pillai Path
Amaravati 895896",2023-05-01
CS_11000017,Elijah Khanna,Elijah_Khanna@gmail.com,Male,30,Dibrugarh,Assam,"78/62, Cheema Marg
Kalyan-Dombivli 274587",2024-05-31
CS_11000018,Samarth Kulkarni,Samarth_Kulkarni@gmail.com,Female,39,Muzaffarpur,Bihar,"H.No. 83
Koshy Zila
Malegaon 338228",2024-07-30
CS_11000019,Kalpit Jhaveri,Kalpit_Jhaveri@gmail.com,Male,52,Salem,Tamil Nadu,"H.No. 84, Palla
Durg-589916",2024-09-17
CS_11000020,Sara Lalla,Sara_Lalla@gmail.com,Male,27,Bhubaneswar,Odisha,"H.No. 289
Handa Zila
Durg 775142",2025-01-26
CS_11000021,Chameli Minhas,Chameli_Minhas@gmail.com,Male,28,Bokaro,Jharkhand,"72, Rai
Kollam-745773",2024-09-18
CS_11000022,Turvi Dugar,Turvi_Dugar@gmail.com,Female,56,Bilaspur,Chhattisgarh,"68/010
Sunder Marg, Sirsa-758409",2023-10-01
CS_11000023,Deepa Dora,Deepa_Dora@gmail.com,Male,21,Panipat,Haryana,"96/531, Vora Circle
Khammam-908554",2023-08-09
CS_11000024,Hredhaan Gour,Hredhaan_Gour@gmail.com,Male,18,Amritsar,Punjab,"07/95, Tiwari Path
Bidhannagar 094856",2023-06-19
CS_11000025,Nakul Tripathi,Nakul_Tripathi@gmail.com,Male,24,Sambalpur,Odisha,"34
Parekh Path, Ramagundam-295102",2024-02-20
CS_11000026,Panini Tella,Panini_Tella@gmail.com,Female,29,Vijayawada,Andhra Pradesh,"43/445
Aggarwal Ganj, Tirupati-883597",2023-05-21
